fork,execve,read,write,open,close,socket,connect,accept,send,recv,type
0,0,750,708,21,21,0,0,0,0,0,perlbench_s
0,1,678,757,43,21,0,0,0,0,0,perlbench_s
0,0,734,762,2,2,0,0,0,0,0,perlbench_s
0,1,724,673,62,40,0,0,0,0,0,perlbench_s
0,0,743,757,0,0,0,0,0,0,0,perlbench_s
0,0,730,756,7,7,0,0,0,0,0,perlbench_s
0,1,707,700,57,35,0,0,0,0,0,perlbench_s
0,0,738,762,0,0,0,0,0,0,0,perlbench_s
0,0,761,697,21,21,0,0,0,0,0,perlbench_s
0,1,674,761,43,21,0,0,0,0,0,perlbench_s
0,0,730,766,2,2,0,0,0,0,0,perlbench_s
0,1,701,696,62,40,0,0,0,0,0,perlbench_s
0,0,741,759,0,0,0,0,0,0,0,perlbench_s
0,0,723,759,9,9,0,0,0,0,0,perlbench_s
0,8,613,329,360,190,0,0,0,0,0,perlbench_s
0,15,476,60,642,307,0,0,0,0,0,perlbench_s
0,10,638,85,487,280,0,0,0,0,0,perlbench_s
0,2,760,577,106,55,0,0,0,0,0,perlbench_s
0,12,487,63,600,338,0,0,0,0,0,perlbench_s
0,14,452,42,638,354,0,0,0,0,0,perlbench_s
0,8,303,27,421,226,0,0,0,0,0,perlbench_s
0,21,254,72,819,334,0,0,0,0,0,perlbench_s
0,16,357,117,680,330,0,0,0,0,0,perlbench_s
0,5,596,402,311,186,0,0,0,0,0,perlbench_s
0,4,653,451,234,158,0,0,0,0,0,perlbench_s
0,3,525,378,331,263,0,0,0,0,0,perlbench_s
0,0,482,526,246,246,0,0,0,0,0,perlbench_s
0,8,438,306,454,294,0,0,0,0,0,perlbench_s
0,5,470,337,399,289,0,0,0,0,0,perlbench_s
0,0,429,553,259,259,0,0,0,0,0,perlbench_s
0,12,452,110,592,334,0,0,0,0,0,perlbench_s
0,15,463,44,656,322,0,0,0,0,0,perlbench_s
0,16,429,56,675,324,0,0,0,0,0,perlbench_s
0,14,445,65,641,335,0,0,0,0,0,perlbench_s
0,12,491,79,586,332,0,0,0,0,0,perlbench_s
0,10,538,327,431,194,0,0,0,0,0,perlbench_s
0,14,489,55,626,316,0,0,0,0,0,perlbench_s
0,11,456,82,597,354,0,0,0,0,0,perlbench_s
0,0,426,9,533,532,0,0,0,0,0,perlbench_s
0,0,486,20,497,497,0,0,0,0,0,perlbench_s
0,11,446,40,622,381,0,0,0,0,0,perlbench_s
0,7,573,444,315,161,0,0,0,0,0,perlbench_s
0,14,480,52,634,320,0,0,0,0,0,perlbench_s
0,14,441,205,570,270,0,0,0,0,0,perlbench_s
0,10,424,129,569,368,0,0,0,0,0,perlbench_s
